datetime,open,high,low,close,tick_volume,spread,real_volume
2025-08-20 14:15:00,2278.24,2278.28,2277.68,2277.78,40,32,0
2025-08-20 14:16:00,2277.74,2277.78,2277.48,2277.66,59,32,0
2025-08-20 14:17:00,2277.64,2277.96,2277.5,2277.5,51,32,0
2025-08-20 14:18:00,2277.4,2277.54,2277.04,2277.04,43,32,0
2025-08-20 14:19:00,2277.04,2277.54,2277.04,2277.24,37,32,0
2025-08-20 14:20:00,2277.24,2277.78,2277.2,2277.76,31,32,0
2025-08-20 14:21:00,2277.74,2277.74,2277.28,2277.44,34,32,0
2025-08-20 14:22:00,2277.44,2277.46,2276.9,2277.14,23,32,0
2025-08-20 14:23:00,2277.14,2277.94,2276.94,2277.84,42,32,0
2025-08-20 14:24:00,2277.84,2278.06,2277.2,2277.24,46,32,0
2025-08-20 14:25:00,2277.24,2277.56,2277.18,2277.54,41,32,0
2025-08-20 14:26:00,2277.4,2277.54,2277.14,2277.46,41,32,0
2025-08-20 14:27:00,2277.46,2277.56,2276.88,2276.94,51,32,0
2025-08-20 14:28:00,2276.94,2277.04,2276.14,2276.14,59,32,0
2025-08-20 14:29:00,2276.14,2276.38,2275.94,2275.94,48,32,0
2025-08-20 14:30:00,2276.0,2276.56,2275.96,2276.18,54,32,0
2025-08-20 14:31:00,2276.18,2276.64,2276.14,2276.54,58,32,0
2025-08-20 14:32:00,2276.54,2276.66,2276.28,2276.5,47,32,0
2025-08-20 14:33:00,2276.5,2276.66,2276.24,2276.44,44,32,0
2025-08-20 14:34:00,2276.44,2276.44,2275.94,2276.14,37,32,0
2025-08-20 14:35:00,2276.14,2276.24,2275.58,2275.58,60,32,0
2025-08-20 14:36:00,2275.58,2275.84,2275.24,2275.24,64,32,0
2025-08-20 14:37:00,2275.24,2275.34,2274.74,2274.88,59,32,0
2025-08-20 14:38:00,2274.86,2275.06,2274.76,2274.88,57,32,0
2025-08-20 14:39:00,2274.94,2275.04,2274.56,2274.66,63,32,0
2025-08-20 14:40:00,2274.68,2275.14,2274.68,2274.96,45,32,0
2025-08-20 14:41:00,2274.98,2275.44,2274.64,2275.26,67,32,0
2025-08-20 14:42:00,2275.24,2275.36,2275.04,2275.34,43,32,0
2025-08-20 14:43:00,2275.26,2275.36,2275.14,2275.26,58,32,0
2025-08-20 14:44:00,2275.3,2275.34,2274.7,2275.04,45,32,0
2025-08-20 14:45:00,2275.0,2275.2,2274.74,2275.14,51,32,0
2025-08-20 14:46:00,2275.14,2275.26,2274.86,2275.18,44,32,0
2025-08-20 14:47:00,2275.18,2275.18,2274.96,2275.1,41,32,0
2025-08-20 14:48:00,2275.08,2275.24,2274.64,2274.84,54,32,0
2025-08-20 14:49:00,2274.68,2275.44,2274.38,2275.34,80,32,0
2025-08-20 14:50:00,2275.34,2276.34,2275.34,2276.28,62,32,0
2025-08-20 14:51:00,2276.28,2276.54,2276.08,2276.2,52,32,0
