time,open,high,low,close,tick_volume,spread,real_volume
2025-08-27 02:09:00,1.38348,1.38348,1.38344,1.38348,7.0,0.00011,0.0
2025-08-27 02:10:00,1.38348,1.38349,1.38346,1.38346,9.0,0.00011,0.0
2025-08-27 02:11:00,1.38346,1.38346,1.38343,1.38346,5.0,0.00011,0.0
2025-08-27 02:12:00,1.38346,1.38349,1.38346,1.38348,6.0,0.00011,0.0
2025-08-27 02:13:00,1.38348,1.38349,1.38346,1.38349,7.0,0.00011,0.0
2025-08-27 02:14:00,1.38349,1.38351,1.38346,1.38346,11.0,0.00011,0.0
2025-08-27 02:15:00,1.38348,1.3835,1.38347,1.38347,6.0,0.00011,0.0
2025-08-27 02:16:00,1.38347,1.38349,1.38346,1.38349,12.0,0.00011,0.0
2025-08-27 02:17:00,1.38349,1.38352,1.38345,1.38349,9.0,0.00011,0.0
2025-08-27 02:18:00,1.38349,1.38349,1.38346,1.38349,5.0,0.00011,0.0
2025-08-27 02:19:00,1.38349,1.38349,1.38345,1.38346,5.0,0.00011,0.0
2025-08-27 02:20:00,1.38346,1.38348,1.38343,1.38344,7.0,0.00011,0.0
2025-08-27 02:21:00,1.38344,1.38348,1.38342,1.38344,9.0,0.00011,0.0
2025-08-27 02:22:00,1.38344,1.38344,1.38327,1.38328,17.0,0.00011,0.0
2025-08-27 02:23:00,1.38328,1.38329,1.38322,1.38326,13.0,0.00011,0.0
2025-08-27 02:24:00,1.38326,1.38337,1.38326,1.38336,8.0,0.00011,0.0
2025-08-27 02:25:00,1.38336,1.38336,1.38336,1.38336,1.0,0.00011,0.0
2025-08-27 02:26:00,1.38336,1.38339,1.38335,1.38336,6.0,0.00011,0.0
2025-08-27 02:27:00,1.38336,1.38339,1.38336,1.38337,8.0,0.00011,0.0
2025-08-27 02:28:00,1.38337,1.38341,1.38335,1.38337,17.0,0.00011,0.0
2025-08-27 02:29:00,1.38337,1.38338,1.38336,1.38337,11.0,0.00011,0.0
2025-08-27 02:30:00,1.38337,1.38339,1.38334,1.38336,15.0,0.00011,0.0
2025-08-27 02:31:00,1.38337,1.38337,1.38323,1.38325,15.0,0.00011,0.0
2025-08-27 02:32:00,1.38325,1.38328,1.38323,1.38326,20.0,0.00011,0.0
2025-08-27 02:33:00,1.38326,1.38327,1.38324,1.38326,10.0,0.00011,0.0
2025-08-27 02:34:00,1.38326,1.38328,1.38325,1.38326,13.0,0.00011,0.0
2025-08-27 02:35:00,1.38326,1.38328,1.38326,1.38327,10.0,0.00011,0.0
2025-08-27 02:36:00,1.38327,1.38335,1.38327,1.38334,10.0,0.00011,0.0
2025-08-27 02:37:00,1.38334,1.38336,1.38329,1.3833,16.0,0.00011,0.0
2025-08-27 02:38:00,1.3833,1.38336,1.3833,1.38336,11.0,0.00011,0.0
2025-08-27 02:39:00,1.38336,1.38336,1.38336,1.38336,1.0,0.00011,0.0
2025-08-27 02:40:00,1.38336,1.38338,1.38334,1.38337,11.0,0.00011,0.0
2025-08-27 02:41:00,1.38337,1.38337,1.38336,1.38337,5.0,0.00011,0.0
2025-08-27 02:42:00,1.38337,1.38338,1.38335,1.38338,8.0,0.00011,0.0
2025-08-27 02:43:00,1.38338,1.38338,1.38334,1.38338,5.0,0.00011,0.0
2025-08-27 02:44:00,1.38338,1.38338,1.38337,1.38337,2.0,0.00011,0.0
2025-08-27 02:45:00,1.38337,1.38347,1.38337,1.38339,28.0,0.00011,0.0
